Tip Paralelism, Test, Nr Threaduri,Timp executie
SECVENTIALA,10 10 3,1,1.23272
SECVENTIALA,1000 1000 3,1,42.57088
SECVENTIALA,10 10000 3,1,20.61953
SECVENTIALA,10000 10 3,1,18.1386
SECVENTIALA,10000 10000 3,1,2192.96103
LINII,10 10 3,2,7.9199
LINII,1000 1000 3,2,63.18858
LINII,1000 1000 3,4,69.09329
LINII,1000 1000 3,8,107.57143
LINII,1000 1000 3,16,125.20833
LINII,10 10000 3,2,70.99753
LINII,10 10000 3,4,72.33917
LINII,10 10000 3,8,95.87613
LINII,10 10000 3,16,77.63162
LINII,10000 10 3,2,60.30865
LINII,10000 10 3,4,72.968
LINII,10000 10 3,8,88.35674
LINII,10000 10 3,16,102.51393
LINII,10000 10000 3,2,1226.70964
LINII,10000 10000 3,4,671.92932
LINII,10000 10000 3,8,3677.95727
LINII,10000 10000 3,16,7237.42128
