Tip Paralelism, Test, Nr Threaduri,Timp executie
SECVENTIALA,10 10 3,1,0
SECVENTIALA,1000 1000 3,1,0
SECVENTIALA,10 10 3,1,0
SECVENTIALA,10 10 3,1,
SECVENTIALA,1000 1000 3,1,
SECVENTIALA,10 10000 3,1,
SECVENTIALA,10000 10 3,1,
SECVENTIALA,10000 10000 3,1,
LINII,10 10 3,2,
LINII,1000 1000 3,2,
LINII,1000 1000 3,4,
LINII,1000 1000 3,8,
LINII,1000 1000 3,16,
LINII,10 10000 3,2,
LINII,10 10000 3,4,
LINII,10 10000 3,8,
LINII,10 10000 3,16,
LINII,10000 10 3,2,
LINII,10000 10 3,4,
LINII,10000 10 3,8,
LINII,10000 10 3,16,
LINII,10000 10000 3,2,
LINII,10000 10000 3,4,
LINII,10000 10000 3,8,
LINII,10000 10000 3,16,
SECVENTIALA,10 10 3,1,0
SECVENTIALA,1000 1000 3,1,0
SECVENTIALA,10 10 3,1,0.54518
SECVENTIALA,1000 1000 3,1,0
SECVENTIALA,10 10000 3,1,0
SECVENTIALA,10 10 3,1,0.49819
SECVENTIALA,1000 1000 3,1,71.96532
SECVENTIALA,10 10000 3,1,9.67631
SECVENTIALA,10000 10 3,1,9.75275
SECVENTIALA,10000 10000 3,1,0
LINII,10 10 3,2,5.73951
LINII,1000 1000 3,2,47.31833
LINII,1000 1000 3,4,27.04046
LINII,1000 1000 3,8,24.37086
LINII,1000 1000 3,16,23.8015
LINII,10 10000 3,2,11.32517
LINII,10 10000 3,4,9.36553
LINII,10 10000 3,8,9.07023
LINII,10 10000 3,16,9.58592
LINII,10000 10 3,2,12.15915
LINII,10000 10 3,4,10.27
LINII,10000 10 3,8,9.84318
LINII,10000 10 3,16,9.54689
LINII,10000 10000 3,2,0
LINII,10000 10000 3,4,0
LINII,10000 10000 3,8,0
LINII,10000 10000 3,16,0
SECVENTIALA,10 10 3,1,0.49121
SECVENTIALA,1000 1000 3,1,73.22688
SECVENTIALA,10 10000 3,1,9.17572
SECVENTIALA,10000 10 3,1,9.62673
SECVENTIALA,10000 10000 3,1,0
LINII,10 10 3,2,5.34618
LINII,1000 1000 3,2,42.59114
LINII,1000 1000 3,4,26.85106
LINII,1000 1000 3,8,23.42017
LINII,1000 1000 3,16,22.56172
LINII,10 10000 3,2,11.211
LINII,10 10000 3,4,9.79115
LINII,10 10000 3,8,9.06153
LINII,10 10000 3,16,9.75742
LINII,10000 10 3,2,16.78767
LINII,10000 10 3,4,10.38965
LINII,10000 10 3,8,10.58581
LINII,10000 10 3,16,10.31252
LINII,10000 10000 3,2,0
LINII,10000 10000 3,4,0
LINII,10000 10000 3,8,0
LINII,10000 10000 3,16,0
